STATION,NAME,DATE,AWND,PRCP,TMAX,TMIN
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",09-23-10,,0.05,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",09-24-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",09-25-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",09-26-10,,0.08,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",09-27-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",09-28-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",09-29-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",09-30-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-01-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-02-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-03-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-04-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-05-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-06-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-07-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-08-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-09-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-10-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-11-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-12-10,,0.1,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-13-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-14-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-15-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-16-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-17-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-18-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-19-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-20-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-21-10,,0,,
